municipality,pi_2009,pi_2012,pi_2015,cov_2009,cov_2012,cov_2015,90_ci_2009_ll,90_ci_2009_ul,90_ci_2012_ll,90_ci_2012_ul,90_cI_2015_ll,90_cI_2015_ul
Baco,4,22.8,25.3,8.8,11,12.8,38,50.9,18.6,26.9,20,30.6
Bansud,39,19.9,26.6,14.4,15.6,15.9,29.8,48.2,14.8,25,19.7,33.6
Bongabong,35.8,25.1,25,9.4,10,11.6,30.2,41.4,21,29.3,20.2,29.7
Bulalacao,51.5,40,41,12.3,8.9,10.5,41.1,61.9,34.1,45.8,33.9,48
Calapan City,23,7.1,9.3,10.4,20.7,11.9,19,26.9,4.7,9.5,7.5,11.1
Gloria,35.5,18.3,16.9,10.5,11.5,15.4,29.4,41.7,14.8,21.8,12.6,21.2
Mansalay,41.8,35.5,31.8,13.2,9.7,12.4,32.7,50.9,29.9,41.2,25.3,38.3
Naujan,38.4,20.5,19,8.3,9.3,8.6,33.2,43.7,17.4,23.6,16.3,21.7
Pinamalayan,31.7,17,19.7,9.7,11.2,12.8,26.6,36.7,13.9,20.2,15.6,23.9
Pola,37.9,29.2,18.3,11.7,10.4,19.5,30.6,45.3,24.2,34.1,12.5,24.2
Puerto Galera,23.9,11,7.9,17.4,19.4,23.4,17.1,30.7,7.5,14.5,4.8,10.9
Roxas,29.7,21.1,19.2,12.9,12.6,17.5,23.4,36,16.7,25.5,13.6,24.7
San Teodoro,33.6,14.8,22.4,15.8,21.2,18,24.8,42.3,9.7,20,15.8,29
Socorro,36.8,15.4,17.2,11.5,11.7,13.7,29.8,43.8,12.4,18.3,13.3,21.1
Victoria,35.2,18,17.4,9.6,10.1,12.8,29.6,40.7,15,21,13.7,21.1
